Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
SCOOPY-I,black,2559.0,2592.655274888559,30500.0,SCOOPY-I S12
ZOOMER-X,green,2560.0,2592.655274888559,36000.0,ZOOMER-X
MIO125I,black,2557.0,2592.655274888559,24500.0,MIO125I
FINO FI,black,2556.0,2592.655274888559,24000.0,FINO FI
PCX150,red,2556.0,2592.655274888559,45000.0,PCX150
PCX150,red,2555.0,2592.655274888559,44000.0,PCX150
N-MAX,gray,2559.0,2592.655274888559,53000.0,N-MAX
AIRBLADE,gray,2550.0,2592.655274888559,14000.0,AIRBLADE
ZOOMER-X,orange,2558.0,2592.655274888559,26000.0,ZOOMER-X
PCX150,brown,2556.0,45.0,45500.0,PCX150
CLICK110I,red,2554.0,2592.655274888559,21500.0,CLICK110I
AIRBLADE,blue,2551.0,2592.655274888559,14000.0,AIRBLADE
SCOOPY-I,red,2557.0,2592.655274888559,27000.0,SCOOPY-I
SCOOPY-I,pink,2557.0,2592.655274888559,27000.0,SCOOPY-I
PCX150,black,2555.0,2592.655274888559,42500.0,PCX150
N-MAX,Other,2560.0,2592.655274888559,56500.0,N-MAX
ZOOMER-X,Other,2558.0,2592.655274888559,27500.0,ZOOMER-X
MIO125,Other,2553.0,2592.655274888559,17000.0,MIO125
CLICK125I,blue,2556.0,2592.655274888559,25500.0,CLICK125I
ZOOMER-X,yellow,2556.0,2592.655274888559,24500.0,ZOOMER-X
CLICK125I,red,2556.0,26.0,26500.0,CLICK125I
CLICK125I,Other,2560.0,6000.0,36000.0,CLICK125I
CLICK125I,black,2555.0,2592.655274888559,22500.0,CLICK125I
ZOOMER-X,Other,2557.0,2592.655274888559,26500.0,ZOOMER-X
SCOOPY-I,Other,2557.0,8000.0,27000.0,SCOOPY-I
FORZA300,Other,2558.0,2592.655274888559,89000.0,FORZA300
PCX150,red,2556.0,2592.655274888559,43500.0,PCX150
PCX150,white,2556.0,2592.655274888559,42000.0,PCX150
SCOOPY-I,Other,2555.0,2592.655274888559,26000.0,SCOOPY-I
SCOOPY-I,red,2556.0,27.0,27000.0,SCOOPY-I
SCOOPY-I,pink,2558.0,7.0,28500.0,SCOOPY-I
GRAND FILANO,Other,2561.0,3.0,40500.0,GRAND FILANO
SCOOPY-I,red,2555.0,2592.655274888559,22000.0,SCOOPY-I
PCX150,red,2555.0,2592.655274888559,47500.0,PCX150
SCOOPY-I,red,2555.0,2592.655274888559,21000.0,SCOOPY-I
N-MAX,red,2559.0,2592.655274888559,52500.0,N-MAX
SCOOPY-I,Other,2559.0,2592.655274888559,28500.0,SCOOPY-I
SCOOPY-I,Other,2559.0,2592.655274888559,28500.0,SCOOPY-I
ZOOMER-X,pink,2558.0,2592.655274888559,27500.0,ZOOMER-X
CLICK125I,Other,2559.0,9000.0,34500.0,CLICK125I
ZOOMER-X,green,2560.0,2592.655274888559,36500.0,ZOOMER-X
